# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	19937
#@/user_id	79fb09ba-e482-4a0b-8f97-bc33c2a34fd8
bu shang 	補上	c=2 d=1 t=18268
bu shao 	不少	c=1 d=5.81541e-07 t=19937
bu shao qian 	不少錢	c=1 d=5.84456e-06 t=19937
bu shen me 	不什麼	c=1 d=1 t=13603
bu shi 	不是	c=72 d=0.114602 t=19937
bu shi he 	不適合	c=1 d=1 t=12895
bu shi rang ni 	不是讓你	c=1 d=0.425283 t=19937
bu shi shuo 	不是說	c=1 d=1 t=13753
bu shi yong 	不適用	c=2 d=1.01869 t=15310
bu shu 	部署	c=18 d=8.03852e-05 t=19937
bu shu fu 	不舒服	c=1 d=1 t=12843
bu shua 	不刷	c=1 d=6.43358e-18 t=19937
bu shuang 	不爽	c=2 d=1 t=12596
bu shun 	不順	c=0 d=4.80992e-09 t=19937
bu shuo 	不說	c=0 d=2.28499e-17 t=19937
bu shuo le 	不說了	c=1 d=1 t=12625
bu si 	不死	c=0 d=0.1 t=13949
bu suan 	不算	c=1 d=6.3019e-11 t=19937
bu suan shi 	不算是	c=1 d=6.33349e-10 t=19937
bu tai 	不太	c=2 d=0.000843842 t=19937
bu tai 	不擡	c=4 d=1 t=18827
bu tai dong 	不太懂	c=1 d=1 t=14022
bu tai duo 	不太多	c=1 d=1 t=9764
bu tai hao 	不太好	c=4 d=0.0500366 t=19937
bu tai hui 	不太會	c=1 d=1.21614e-08 t=19937
bu tai ping 	不太平	c=1 d=1 t=13622
bu tai qiang 	不太強	c=1 d=1 t=12634
bu tai xi huan 	不太喜歡	c=2 d=6.84444e-11 t=19937
bu tai xing 	不太行	c=3 d=7.81247e-08 t=19937
bu ti gong 	不提供	c=1 d=1 t=16716
bu tiao 	不挑	c=1 d=1 t=12883
bu tie jin 	不貼近	c=1 d=0.075774 t=19937
bu tong 	不同	c=2 d=1.39293e-08 t=19937
bu wan 	不玩	c=1 d=3.47589e-11 t=19937
bu wan le 	不玩了	c=1 d=3.49331e-10 t=19937
bu xi huan 	不喜歡	c=1 d=1 t=10314
bu xia 	不下	c=1 d=0.00035443 t=19937
bu xia lai 	不下來	c=0 d=0.1 t=16821
bu xia qu 	不下去	c=0 d=6.9264e-05 t=19937
bu xian shi 	不顯示	c=2 d=1.9657e-10 t=19937
bu xiang 	不像	c=1 d=1 t=9868
bu xiang 	不想	c=1 d=0.0277367 t=19937
bu xiang dong 	不想動	c=1 d=5.19884e-11 t=19937
bu xiang qu 	不想去	c=1 d=0.000253537 t=19937
bu xiao xin 	不小心	c=1 d=1.06072e-17 t=19937
bu xie 	不屑	c=1 d=1 t=13981
bu xin 	不信	c=1 d=1 t=15875
bu xin ku 	不辛苦	c=1 d=1 t=14610
bu xing 	不行	c=11 d=0.00494212 t=19937
bu xing me 	不行麼	c=1 d=4.57612e-10 t=19937
bu xu yao 	不需要	c=7 d=2.34423e-05 t=19937
bu ye shi 	不也是	c=1 d=1 t=14569
bu yi ding 	不一定	c=3 d=1.27804 t=14360
bu yi yang 	不一樣	c=3 d=1.59695e-07 t=19937
bu ying gai 	不應該	c=1 d=1 t=13781
bu yong 	不用	c=15 d=0.161258 t=19937
bu yong le 	不用了	c=2 d=1 t=19072
bu yong zhao 	不用找	c=1 d=7.73574e-10 t=19937
bu you zi zhu 	不由自主	c=1 d=0.0443785 t=19937
bu yu 	捕魚	c=1 d=0.00975476 t=19937
bu yuan 	不願	c=2 d=7.19197e-14 t=19937
bu yun xu 	不允許	c=2 d=0.000120966 t=19937
bu za di 	不咋地	c=2 d=1 t=17166
bu zai 	不在	c=3 d=1.26555e-06 t=19937
bu zai sheng zi shang de zhen zhu 	不在繩子上的珍珠	c=1 d=9.81701e-19 t=19937
bu zhi 	不知	c=1 d=1 t=13307
bu zhi da 	不直達	c=1 d=1 t=14419
bu zhi dao 	不知道	c=21 d=0.00317326 t=19937
bu zhi qing 	不知情	c=2 d=1.67706 t=9686
bu zhi si 	不致死	c=1 d=1 t=17447
bu zhou 	步驟	c=3 d=1.82344 t=19937
bu zhu 	不住	c=0 d=0.1 t=12493
bu zhun 	不準	c=1 d=2.47404e-10 t=19937
bu zhun bei 	不準備	c=1 d=0.108067 t=19937
bu zhun que 	不準確	c=1 d=0.00158844 t=19937
bu zhun shi 	不準時	c=1 d=1 t=16349
ca 	擦	c=1 d=2.88137e-09 t=19937
ca bian qiu 	擦邊球	c=1 d=1 t=10025
ca pi 	擦皮	c=1 d=1 t=13769
cai 	才	c=0 d=1.46657e-06 t=19937
cai 	菜	c=2 d=0.501576 t=19937
cai an xin 	才安心	c=1 d=1.47392e-05 t=19937
cai cai 	踩踩	c=1 d=6.57382e-07 t=19937
cai dan 	菜單	c=5 d=0.018111 t=19937
cai dan zhong 	菜單中	c=1 d=1 t=19586
cai gou 	採購	c=2 d=1.01231 t=18871
cai gou 	纔夠	c=0 d=0.000147367 t=19937
cai gou xie yi 	採購協議	c=1 d=1 t=18453
cai gou yong 	纔夠用	c=1 d=0.00148106 t=19937
cai guang 	採光	c=2 d=1 t=16984
cai hui 	纔會	c=3 d=3.20043e-09 t=19937
cai liao 	材料	c=2 d=7.63655e-05 t=19937
cai ling 	彩鈴	c=2 d=2.70159e-08 t=19937
cai neng 	才能	c=9 d=0.287941 t=19937
cai shi 	纔是	c=1 d=1 t=9609
cai suan 	纔算	c=1 d=1 t=9735
cai wu 	財務	c=6 d=0.100949 t=17664
cai wu gong xiang 	財務共享	c=2 d=1.00032 t=19277
cai xing 	才行	c=1 d=1 t=11139
cai zhi 	材質	c=1 d=1 t=12924
cai zhi dao 	才知道	c=2 d=6.03529e-12 t=19937
can ji ren 	殘疾人	c=1 d=1 t=13191
can jun 	參軍	c=2 d=1.34994 t=13764
can kao 	參考	c=0 d=0.1 t=14070
can kao xian 	參考先	c=1 d=1 t=14071
can shu 	參數	c=11 d=1.21031e-07 t=19937
can yu 	參與	c=1 d=1 t=9605
cang 	倉	c=1 d=1 t=15916
cang fang 	倉房	c=1 d=2.31755e-06 t=19937
cang ku 	倉庫	c=1 d=2.37251e-17 t=19937
cang pei 	倉配	c=1 d=1 t=16200
cang qi lai 	藏起來	c=2 d=0.486126 t=19937
cao 	草	c=7 d=0.0208647 t=19937
cao cao 	草草	c=1 d=1 t=12682
cao kong 	操控	c=0 d=0.1 t=13524
cao kong le 	操控了	c=1 d=1 t=13525
cao zou 	草走	c=1 d=2.15676e-13 t=19937
cao zu 	曹族	c=1 d=1 t=19682
cao zuo 	操作	c=19 d=0.346917 t=19937
cao zuo cheng gong 	操作成功	c=1 d=5.46725e-15 t=19937
ce 	測	c=7 d=0.860708 t=19937
ce de 	測得	c=1 d=2.90983e-07 t=19937
ce shi 	測試	c=54 d=0.0359563 t=19937
ce shi ku 	測試庫	c=2 d=7.81481e-12 t=19937
ce shi shu ju ku 	測試數據庫	c=1 d=8.39886e-07 t=19937
ce shu 	冊書	c=1 d=1 t=11428
ce suo 	廁所	c=1 d=2.55468e-05 t=19937
ceng 	層	c=1 d=1 t=11909
ceng mian 	層面	c=1 d=1.42788e-14 t=19937
cha 	差	c=1 d=1.11166e-10 t=19937
cha 	查	c=12 d=1.4474 t=19937
cha bu dao 	查不到	c=3 d=1.00108 t=12436
cha bu duo 	差不多	c=9 d=0.0288868 t=19937
cha bu duo le 	差不多了	c=2 d=1.00001 t=15435
cha cha 	查查	c=0 d=0.1 t=14197
cha cha 	茶茶	c=1 d=3.54852e-18 t=19937
cha cha kan 	查查看	c=1 d=0.0308074 t=19937
cha cha qu 	查查去	c=1 d=1 t=14198
cha cun 	查存	c=1 d=1 t=19667
cha dao 	查到	c=4 d=0.00160564 t=19937
cha dao le 	查到了	c=1 d=6.17501e-06 t=19937
cha de 	差得	c=1 d=1 t=9777
cha dian 	差點	c=1 d=1 t=13388
cha ge 	查個	c=1 d=0.00167826 t=19937
cha guo 	查過	c=1 d=0.00127476 t=19937
cha jian 	插件	c=3 d=0.00262136 t=19937
cha ka 	插卡	c=0 d=0.000264522 t=19937
cha kan 	查看	c=12 d=0.511198 t=19937
cha lai de 	查來的	c=1 d=1 t=15354
